0,2.58159,0.00604,-6.02284,0.00913,0.04555,0.00523,0.01014,0.00239
0,2.58149,0.00603,-6.02257,0.00929,0.04547,0.00523,0.01031,0.00249
10,2.58269,0.00635,-6.01714,0.00948,0.01769,0.00588,0.0102,0.00236
20,2.58767,0.0066,-6.01463,0.01023,-0.02733,0.00595,0.01036,0.00244
30,2.59293,0.00667,-6.01072,0.01059,-0.0706,0.00636,0.01024,0.00243
40,2.59753,0.00695,-6.00436,0.01057,-0.12301,0.00649,0.01053,0.00268
50,2.59813,0.00732,-6.00514,0.01072,-0.18289,0.00973,0.01052,0.00276
60,2.59883,0.00678,-6.00571,0.01061,-0.24674,0.00585,0.01057,0.00306
70,2.59906,0.00604,-6.00489,0.00887,-0.3028,0.00627,0.01105,0.00255
80,2.60165,0.00963,-6.00444,0.01236,-0.35985,0.00736,0.01116,0.00263
100,2.60428,0.0067,-6.00076,0.01005,-0.47095,0.00862,0.01192,0.00237
120,2.60471,0.00667,-6.00264,0.01071,-0.57871,0.00745,0.01235,0.00292
140,2.6076,0.00685,-6.00175,0.0099,-0.68974,0.00557,0.01293,0.00239
200,2.61527,0.00669,-5.9971,0.00962,-1.02211,0.00615,0.01391,0.00295
250,2.62395,0.00824,-5.9877,0.01157,-1.29629,0.0082,0.01483,0.00653
300,2.62891,0.00827,-5.98209,0.01043,-1.57379,0.0063,0.0157,0.00455
350,2.63378,0.00766,-5.97586,0.01099,-1.84362,0.01449,0.01704,0.00351
400,2.6336,0.00846,-5.97513,0.01154,-2.12918,0.0115,0.01784,0.00257
500,2.63915,0.00708,-5.96741,0.01026,-2.69414,0.00834,0.01944,0.00687
500,2.64196,0.00661,-5.97032,0.00955,-2.71818,0.00664,0.01974,0.00333
450,2.64052,0.00816,-5.97537,0.01127,-2.45688,0.00687,0.01881,0.00242
400,2.63578,0.00719,-5.97947,0.01018,-2.18526,0.00641,0.01814,0.00251
350,2.62662,0.00719,-5.98803,0.01085,-1.90975,0.00632,0.01705,0.00677
250,2.60986,0.00611,-6.00817,0.00953,-1.34252,0.0062,0.01543,0.00304
200,2.5966,0.00702,-6.0219,0.01052,-1.06638,0.00611,0.0153,0.00253
160,2.58827,0.00695,-6.02923,0.01064,-0.83336,0.00596,0.01396,0.00265
150,2.59028,0.00687,-6.02927,0.01064,-0.78487,0.00618,0.0142,0.00237
130,2.5783,0.00697,-6.03421,0.01037,-0.67785,0.00613,0.01388,0.00273
110,2.5806,0.00663,-6.03565,0.01059,-0.56891,0.00608,0.01376,0.00235
90,2.57961,0.00842,-6.03645,0.01127,-0.45187,0.01702,0.01381,0.00246
70,2.5807,0.00675,-6.03864,0.01065,-0.34811,0.00633,0.01363,0.0025
60,2.57716,0.01008,-6.04325,0.01259,-0.29183,0.00888,0.01361,0.00463
50,2.57376,0.00643,-6.04678,0.01007,-0.2386,0.00587,0.014,0.00246
40,2.57247,0.00639,-6.04982,0.0099,-0.18016,0.00549,0.01349,0.00246
30,2.57487,0.01184,-6.04724,0.01288,-0.11688,0.01829,0.01341,0.01104
20,2.57082,0.00756,-6.05135,0.01049,-0.05492,0.00621,0.01329,0.00255
10,2.57026,0.00708,-6.0522,0.01088,-0.01828,0.00621,0.01346,0.00242
0,2.57079,0.00691,-6.05268,0.01098,0.02546,0.00622,0.01331,0.00251